blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),low std: Wavelength (nm),low std: Fluorescence 405 nm (rel),med: Wavelength (nm),med: Fluorescence 405 nm (rel),hi: Wavelength (nm),hi: Fluorescence 405 nm (rel),QC: Wavelength (nm),QC: Fluorescence 405 nm (rel),QC2: Wavelength (nm),QC2: Fluorescence 405 nm (rel),QC3: Wavelength (nm),QC3: Fluorescence 405 nm (rel),tonic1: Wavelength (nm),tonic1: Fluorescence 405 nm (rel),tonic2: Wavelength (nm),tonic2: Fluorescence 405 nm (rel),tonic3: Wavelength (nm),tonic3: Fluorescence 405 nm (rel)
443.9,0.006797867,443.9,0.009529659,443.9,0.009263745,443.9,0.052995954,443.9,0.198723205,443.9,0.595761497,443.9,0.094826481,443.9,0.094632269,443.9,0.095658789,443.9,0.112861781,443.9,0.114361229,443.9,0.112480854
444.7,0.006489796,444.7,0.00744437,444.7,0.009722905,444.7,0.052779717,444.7,0.201748785,444.7,0.60276281,444.7,0.094923599,444.7,0.094573399,444.7,0.097140843,444.7,0.115090889,444.7,0.116760103,444.7,0.115845843
445.6,0.006362002,445.6,0.01320484,445.6,0.008022417,445.6,0.053514091,445.6,0.204794103,445.6,0.611405654,445.6,0.097173631,445.6,0.096283991,445.6,0.098112737,445.6,0.117488682,445.6,0.120208274,445.6,0.118071233
446.5,0.005333376,446.5,0.011965419,446.5,0.012475174,446.5,0.053692396,446.5,0.207246498,446.5,0.618936492,446.5,0.098518267,446.5,0.097555351,446.5,0.099768503,446.5,0.120171366,446.5,0.122961699,446.5,0.120150683
447.3,0.004861808,447.3,0.010208398,447.3,0.010496346,447.3,0.054244578,447.3,0.209892134,447.3,0.627238626,447.3,0.100696795,447.3,0.099962304,447.3,0.100937001,447.3,0.122042448,447.3,0.124985108,447.3,0.122080364
448.2,0.004720725,448.2,0.00535952,448.2,0.014283821,448.2,0.055024546,448.2,0.21280457,448.2,0.637129419,448.2,0.101766979,448.2,0.101426291,448.2,0.102456153,448.2,0.124857959,448.2,0.127816173,448.2,0.123952273
449.1,0.005065587,449.1,0.013208326,449.1,0.010254424,449.1,0.055428816,449.1,0.216687506,449.1,0.646374501,449.1,0.103047586,449.1,0.104127902,449.1,0.103214548,449.1,0.12770604,449.1,0.129992097,449.1,0.126714182
449.9,0.004621592,449.9,0.013730578,449.9,0.011401515,449.9,0.055414342,449.9,0.219585844,449.9,0.652914796,449.9,0.103900928,449.9,0.105310964,449.9,0.104043728,449.9,0.129549648,449.9,0.131587056,449.9,0.128941402
450.8,0.004348952,450.8,0.007628388,450.8,0.011934775,450.8,0.056026135,450.8,0.221065784,450.8,0.658672317,450.8,0.104972662,450.8,0.104937041,450.8,0.105057731,450.8,0.130919712,450.8,0.132391818,450.8,0.130870608
451.6,0.004080523,451.6,0.004445982,451.6,0.006466547,451.6,0.056627303,451.6,0.222239781,451.6,0.664384927,451.6,0.106049872,451.6,0.105003801,451.6,0.10608842,451.6,0.132455835,451.6,0.133206868,451.6,0.132499768
452.5,0.003774658,452.5,0.005499409,452.5,0.005365459,452.5,0.057214181,452.5,0.222438174,452.5,0.671076688,452.5,0.107479861,452.5,0.106380199,452.5,0.107984524,452.5,0.134370988,452.5,0.13521778,452.5,0.134318433
453.4,0.004582316,453.4,0.008392905,453.4,0.014456437,453.4,0.056094138,453.4,0.223613642,453.4,0.676392462,453.4,0.108956266,453.4,0.10795478,453.4,0.108857828,453.4,0.135564218,453.4,0.136539425,453.4,0.136001913
454.2,0.004555044,454.2,0.00784486,454.2,0.013454832,454.2,0.056073203,454.2,0.224193701,454.2,0.680459942,454.2,0.108949205,454.2,0.108868787,454.2,0.110331642,454.2,0.136361782,454.2,0.138109567,454.2,0.137073353
455.1,0.004977985,455.1,0.012509466,455.1,0.006376465,455.1,0.056261428,455.1,0.225959677,455.1,0.683468912,455.1,0.108939746,455.1,0.109451151,455.1,0.110648665,455.1,0.137879478,455.1,0.138603836,455.1,0.137707186
456,0.004263607,456,0.006618197,456,0.012175235,456,0.056784333,456,0.225870546,456,0.685023325,456,0.108783237,456,0.1110363,456,0.110634984,456,0.138380062,456,0.139152589,456,0.137739197
456.8,0.004478385,456.8,0.00851514,456.8,0.009867521,456.8,0.05707179,456.8,0.228519712,456.8,0.687407718,456.8,0.111279758,456.8,0.111042553,456.8,0.110418074,456.8,0.139286819,456.8,0.139947436,456.8,0.139255806
457.7,0.00363704,457.7,0.009303,457.7,0.012032506,457.7,0.057199931,457.7,0.22986772,457.7,0.688211945,457.7,0.112416998,457.7,0.111180502,457.7,0.110306206,457.7,0.139414153,457.7,0.141906227,457.7,0.140599522
458.6,0.003107372,458.6,0.004782171,458.6,0.006918887,458.6,0.057996966,458.6,0.231404684,458.6,0.689713355,458.6,0.112153721,458.6,0.111429022,458.6,0.110934692,458.6,0.141611843,458.6,0.144051925,458.6,0.141916761
459.4,0.0021972,459.4,0.007820812,459.4,0.004629341,459.4,0.05784481,459.4,0.231547843,459.4,0.690837372,459.4,0.111164427,459.4,0.111174462,459.4,0.111803316,459.4,0.142169454,459.4,0.144640469,459.4,0.142665578
460.3,0.002339513,460.3,0.008975089,460.3,0.004828435,460.3,0.05837524,460.3,0.231418385,460.3,0.695887944,460.3,0.110592846,460.3,0.11233244,460.3,0.11196732,460.3,0.144783375,460.3,0.144995134,460.3,0.143754081
461.2,0.00268705,461.2,0.006094609,461.2,0.010984394,461.2,0.057761427,461.2,0.231585427,461.2,0.69820301,461.2,0.111194984,461.2,0.112696126,461.2,0.112483443,461.2,0.145504949,461.2,0.144856176,461.2,0.143962158
462,0.003093002,462,0.004308246,462,0.008863942,462,0.057840532,462,0.231149669,462,0.699150873,462,0.110919741,462,0.112410489,462,0.110961733,462,0.146275833,462,0.145185196,462,0.144663328
462.9,0.00355088,462.9,0.00709605,462.9,0.007604555,462.9,0.057348638,462.9,0.231161356,462.9,0.697794346,462.9,0.111444574,462.9,0.112128997,462.9,0.110495218,462.9,0.145591976,462.9,0.14568745,462.9,0.144376697
