"blank: Wavelength (nm)","blank: Fluorescence 405 nm (rel)","low std: Wavelength (nm)","low std: Fluorescence 405 nm (rel)","med: Wavelength (nm)","med: Fluorescence 405 nm (rel)","hi: Wavelength (nm)","hi: Fluorescence 405 nm (rel)","QC: Wavelength (nm)","QC: Fluorescence 405 nm (rel)","QC2: Wavelength (nm)","QC2: Fluorescence 405 nm (rel)","QC3: Wavelength (nm)","QC3: Fluorescence 405 nm (rel)","tonic1: Wavelength (nm)","tonic1: Fluorescence 405 nm (rel)","tonic2: Wavelength (nm)","tonic2: Fluorescence 405 nm (rel)","tonic3: Wavelength (nm)","tonic3: Fluorescence 405 nm (rel)"
437.8,0.00797087006404,437.8,0.0526462509991,437.8,0.181317408062,437.8,0.530587739088,437.8,0.0854424345284,437.8,0.0844056950097,437.8,0.0854887810574,437.8,0.0988677090281,437.8,0.0987451386263,437.8,0.097871797568
438.7,0.00777256911152,438.7,0.0524500896255,438.7,0.183172885925,438.7,0.53883803999,438.7,0.0866003946391,438.7,0.0851113278599,438.7,0.0868174164133,438.7,0.0996715708415,438.7,0.100489529572,438.7,0.0999638067162
439.6,0.00731249520242,439.6,0.0527433806517,439.6,0.186735007937,439.6,0.548775433002,439.6,0.0875537075949,439.6,0.0871655048384,439.6,0.0879258771079,439.6,0.10141457602,439.6,0.103001393039,439.6,0.100845654472
440.4,0.00685099931006,440.4,0.0525808496753,440.4,0.189766607759,440.4,0.559550272866,440.4,0.0889645451185,440.4,0.0880427138021,440.4,0.0890479482885,440.4,0.10376492254,440.4,0.105667333763,440.4,0.103928711712
441.3,0.00633049016204,441.3,0.0522142276662,441.3,0.192049464672,441.3,0.568788819374,441.3,0.0903881931994,441.3,0.090208590459,441.3,0.089045806026,441.3,0.105880362679,441.3,0.109176613887,441.3,0.106142418034
442.1,0.00672606380216,442.1,0.0525321189275,442.1,0.194196963563,442.1,0.579210209546,442.1,0.0928871225567,442.1,0.0916722771432,442.1,0.0906733170909,442.1,0.1086148603,442.1,0.111514464901,442.1,0.108004571477
443,0.00662485681165,443,0.0526837873407,443,0.196705632686,443,0.586858273693,443,0.0941222501061,443,0.0937280606322,443,0.0934161394108,443,0.110755908199,443,0.113220809843,443,0.110919668995
443.9,0.00679786672251,443.9,0.0529959543741,443.9,0.198723205027,443.9,0.595761497457,443.9,0.0948264810639,443.9,0.0946322686122,443.9,0.0956587893631,443.9,0.112861781019,443.9,0.114361228696,443.9,0.112480854
444.7,0.00648979647591,444.7,0.0527797165108,444.7,0.201748785277,444.7,0.602762809782,444.7,0.0949235991255,444.7,0.0945733990953,444.7,0.0971408431957,444.7,0.11509088934,444.7,0.116760102896,444.7,0.115845842524
445.6,0.00636200187511,445.6,0.0535140913832,445.6,0.204794103272,445.6,0.611405654219,445.6,0.0971736314065,445.6,0.0962839912909,445.6,0.0981127366673,445.6,0.117488682155,445.6,0.120208274114,445.6,0.118071233342
446.5,0.00533337642262,446.5,0.0536923963568,446.5,0.207246497649,446.5,0.618936491778,446.5,0.0985182671643,446.5,0.0975553508814,446.5,0.0997685028089,446.5,0.120171366092,446.5,0.122961699011,446.5,0.120150683234
447.3,0.00486180758213,447.3,0.0542445778883,447.3,0.209892134044,447.3,0.627238626085,447.3,0.100696794888,447.3,0.0999623038537,447.3,0.100937000644,447.3,0.122042447782,447.3,0.12498510832,447.3,0.122080363668
448.2,0.00472072542068,448.2,0.0550245459367,448.2,0.212804569689,448.2,0.63712941909,448.2,0.10176697912,448.2,0.101426291334,448.2,0.102456153413,448.2,0.124857958787,448.2,0.127816173195,448.2,0.123952273032
449.1,0.00506558739369,449.1,0.0554288156939,449.1,0.216687505604,449.1,0.646374501017,449.1,0.103047586326,449.1,0.104127901999,449.1,0.103214547728,449.1,0.127706040388,449.1,0.129992097448,449.1,0.126714181943
449.9,0.00462159159935,449.9,0.0554143422909,449.9,0.219585844017,449.9,0.652914796429,449.9,0.10390092795,449.9,0.105310964187,449.9,0.10404372788,449.9,0.129549647788,449.9,0.131587056028,449.9,0.12894140193
450.8,0.00434895216514,450.8,0.0560261353215,450.8,0.221065783808,450.8,0.658672316811,450.8,0.104972662209,450.8,0.104937040834,450.8,0.105057731396,450.8,0.130919711616,450.8,0.132391817731,450.8,0.130870608389
451.6,0.00408052264664,451.6,0.0566273034641,451.6,0.222239780916,451.6,0.664384926647,451.6,0.106049871542,451.6,0.105003801249,451.6,0.106088420268,451.6,0.132455835112,451.6,0.133206867669,451.6,0.132499767739
452.5,0.00377465812663,452.5,0.0572141814246,452.5,0.222438174212,452.5,0.671076688028,452.5,0.107479860958,452.5,0.106380198792,452.5,0.107984524345,452.5,0.134370988459,452.5,0.135217780452,452.5,0.134318432818
453.4,0.00458231615496,453.4,0.0560941375674,453.4,0.223613642255,453.4,0.676392462216,453.4,0.108956266101,453.4,0.107954779703,453.4,0.108857827747,453.4,0.135564217844,453.4,0.136539425293,453.4,0.136001913107
454.2,0.00455504403146,454.2,0.0560732032373,454.2,0.224193701297,454.2,0.680459941814,454.2,0.108949204998,454.2,0.108868787156,454.2,0.110331642405,454.2,0.136361782254,454.2,0.13810956735,454.2,0.137073353089
455.1,0.00497798519419,455.1,0.0562614280642,455.1,0.22595967742,455.1,0.68346891194,455.1,0.108939745708,455.1,0.109451150976,455.1,0.110648665442,455.1,0.137879477634,455.1,0.138603835621,455.1,0.137707185789
456,0.00426360670678,456,0.0567843330812,456,0.225870546486,456,0.685023325045,456,0.108783236547,456,0.111036300415,456,0.110634984315,456,0.138380062024,456,0.139152589055,456,0.137739196649
456.8,0.00447838514009,456.8,0.0570717897143,456.8,0.228519712178,456.8,0.687407717919,456.8,0.111279757855,456.8,0.111042552606,456.8,0.110418074359,456.8,0.139286818965,456.8,0.139947435799,456.8,0.139255806112
457.7,0.00363703964726,457.7,0.0571999313072,457.7,0.229867719853,457.7,0.688211945267,457.7,0.112416997823,457.7,0.111180501687,457.7,0.11030620627,457.7,0.139414153153,457.7,0.141906226755,457.7,0.140599521657
458.6,0.00310737175077,458.6,0.0579969655417,458.6,0.231404683543,458.6,0.689713355281,458.6,0.112153720734,458.6,0.111429021916,458.6,0.110934691789,458.6,0.141611842665,458.6,0.144051924733,458.6,0.141916761405
459.4,0.00219719983743,459.4,0.0578448096209,459.4,0.231547843069,459.4,0.690837372199,459.4,0.111164427197,459.4,0.111174461646,459.4,0.111803315839,459.4,0.142169453939,459.4,0.144640469347,459.4,0.142665577778
460.3,0.00233951267352,460.3,0.0583752404683,460.3,0.231418385168,460.3,0.695887943532,460.3,0.11059284637,460.3,0.112332439828,460.3,0.111967320294,460.3,0.144783375114,460.3,0.144995134108,460.3,0.14375408084
461.2,0.00268704977423,461.2,0.0577614270036,461.2,0.231585426557,461.2,0.69820300989,461.2,0.111194984059,461.2,0.112696126056,461.2,0.112483443097,461.2,0.1455049491,461.2,0.144856175625,461.2,0.143962157766
462,0.00309300173633,462,0.0578405322125,462,0.23114966937,462,0.699150872718,462,0.110919741095,462,0.112410489115,462,0.11096173339,462,0.14627583253,462,0.145185195713,462,0.144663328387
462.9,0.00355087990378,462.9,0.0573486375805,462.9,0.23116135585,462.9,0.69779434611,462.9,0.111444573566,462.9,0.112128997001,462.9,0.110495217584,462.9,0.145591975886,462.9,0.14568744979,462.9,0.144376696874
463.7,0.00348212743478,463.7,0.0564940606513,463.7,0.231156649484,463.7,0.698010679833,463.7,0.110183996494,463.7,0.110898560618,463.7,0.109900418795,463.7,0.144620578422,463.7,0.145888259018,463.7,0.144378557667
464.6,0.00343509423739,464.6,0.0553436155768,464.6,0.230766355412,464.6,0.697289549716,464.6,0.109975682993,464.6,0.111612678709,464.6,0.110968525869,464.6,0.144026339383,464.6,0.146726329396,464.6,0.144557750404
465.5,0.00338333331395,465.5,0.055269150046,465.5,0.231085252859,465.5,0.696693442973,465.5,0.10936277491,465.5,0.110481364965,465.5,0.110950885959,465.5,0.144300658126,465.5,0.145900052839,465.5,0.145311019759
466.3,0.00289469251531,466.3,0.0561318654304,466.3,0.230708643003,466.3,0.696089845853,466.3,0.110079844691,466.3,0.110151037304,466.3,0.110753224308,466.3,0.143845601009,466.3,0.145564775566,466.3,0.146546871851
467.2,0.00263008774381,467.2,0.055753751397,467.2,0.228888352825,467.2,0.692874945997,467.2,0.108984398166,467.2,0.109519012265,467.2,0.10894283669,467.2,0.144198252635,467.2,0.144404854088,467.2,0.145647090005
468.1,0.00223679193933,468.1,0.0541412691795,468.1,0.227133196203,468.1,0.691259104261,468.1,0.107740986565,468.1,0.108912934793,468.1,0.107918202122,468.1,0.144213240229,468.1,0.14425962204,468.1,0.144624087474
468.9,0.00321967967023,468.9,0.0534413079954,468.9,0.22538606075,468.9,0.686682141697,468.9,0.107319339658,468.9,0.108351740454,468.9,0.107903087741,468.9,0.145807394656,468.9,0.144721162425,468.9,0.143959899801
469.8,0.00397682009164,469.8,0.054040216582,469.8,0.226130628164,469.8,0.685843873541,469.8,0.108074275029,469.8,0.108262593375,469.8,0.108167938967,469.8,0.146184818027,469.8,0.145296711638,469.8,0.143756015217
470.7,0.00430573820373,470.7,0.0549170136713,470.7,0.225048687877,470.7,0.681005145672,470.7,0.108041717467,470.7,0.108255016941,470.7,0.108041502143,470.7,0.145126326646,470.7,0.145671396592,470.7,0.143331389823
471.5,0.00435338962288,471.5,0.054836723234,471.5,0.224906296418,471.5,0.677601927314,471.5,0.10647611441,471.5,0.107947801012,471.5,0.106087445824,471.5,0.1439354544,471.5,0.144670888576,471.5,0.143438475399
472.4,0.00400624059036,472.4,0.0535446838301,472.4,0.222020555846,472.4,0.672405653359,472.4,0.105011682913,472.4,0.106807129473,472.4,0.105585934703,472.4,0.142849729783,472.4,0.144801238472,472.4,0.142508666853
